state,district,disease,no_of_cases,deaths,start_of_outbreak,date_of_reporting,status,action
Maharashtra,Raigad,Acute Diarrheal Disease,62,0,29-12-2024,30-12-2024,Under Surveillance,"Cases were reported from Village Dighode, Sub-District Uran, District Raigad. Cases presented with vomiting, loose stools, nausea and pain abdomen. 5 stool samples were collected and sent to Grant Medical College Hospital, Mumbai. Stool samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Maharashtra,Satara,Chikungunya,17,0,01-01-2025,01-01-2025,Under Surveillance,"Cases were reported from Village Shendurjane, Sub-District Koregaon, District Satara. Cases presented with fever with weakness. 19 Blood samples were collected and sent NIV Pune. 17 samples found positive for Chikungunya IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Odisha,Deogarh,Acute Diarrheal Disease,17,0,30-12-2024,30-12-2024,Under Control,"Cases were reported from Village Basudebpur, Sub-District Debagarh, District Deogarh. Cases presented with vomiting abdominal cramps and loose stools. 2 water samples were collected and sent to DPHL Deogarh. Both samples found fit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Odisha,Rayagada,Malaria,24,0,31-12-2024,01-01-2025,Under Control,"Cases were reported from Village Sukalpadu, Sub-District Gudari, District Rayagada. Cases presented with fever with headache. A total 24 samples found positive for malaria (20 for Plasmodium falciparum and 4 for Plasmodium vivax by RDT and Peripheral Blood Smear at DPHL Rayagada. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Odisha,Rayagada,Malaria,16,0,31-12-2024,01-01-2025,Under Control,"Cases were reported from Village Poligam, Sub-District Kalyanasingpur, District Rayagada. Cases presented with fever with headache. A total 17 samples found positive for malaria (09 for Plasmodium falciparum, 05 for Plasmodium vivax and 03 mixed) by RDT and Peripheral Blood Smear at DPHL Rayagada. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Odisha,Rayagada,Malaria,13,0,31-12-2024,01-01-2025,Under Control,"Cases were reported from Village Mushki, Sub-District Padmapur, District Rayagada. Cases presented with fever with headache. A total of 13 samples found positive for malaria (10 for Plasmodium falciparum, 02 for Plasmodium vivax and 01 mixed) by RDT and Peripheral Blood Smear at DPHL Rayagada. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Odisha,Rayagada,Malaria,30,0,31-12-2024,01-01-2025,Under Control,"Cases were reported from Village J K Paper mill colony area, Sub-District Rayagada, District Rayagada. Cases presented with fever with headache. A total of 30 samples found positive for malaria (29 for Plasmodium falciparum, 01 for Plasmodium vivax) by RDT and Peripheral Blood Smear at DPHL Rayagada. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Tamil Nadu,Erode,Diphtheria,1,1,29-12-2024,30-12-2024,Under Control,"Case was reported from Village Iyampalayamarisana colony, Sub-District Bhavani, District Erode. A 39-year-old male, presented with fever. 1 blood sample was collected and sent to SPHL Chennai. It came positive for Diphtheria on culture. District RRT investigated the outbreak. Cases treated symptomatically. He expired on 30-12-2024 due to Severe Refractory Metabolic acidosis, Cardigenic shock/Acute Coronary Syndrome, Subacute Infective endocarditis and Type II Diabetes Mellitus Community awareness and health education given by peripheral team on hygiene and sanitation."
Tamil Nadu,Tiruchirappalli,Mumps,6,0,31-12-2024,02-01-2025,Under Surveillance,"Cases were reported from Village Nagamangalam (CT), Sub-District Srirangam, District Tiruchirappalli. Cases presented with swelling of parotid glands, pain and fever. 3 serum and 3 swabs were collected and sent to King Institute Chennai. All three serum samples came positive for Mumps IgM by ELISA and 3 swabs came positive for Mumps by RT-PCR. District RRT investigated the outbreak. Cases treated symptomatically. Age group of the affected cases was 1-15 years. Community awareness and health education given by peripheral team on, hygiene and sanitation."
Uttar Pradesh,Lalitpur,Fever with rash,12,0,29-01-2024,30-12-2024,Under Surveillance,"Cases were reported from village Bijouri, CHC Birdha, District Lalitpur. Cases presented with fever with rash. 5 blood samples and 2 throat swabs were collected and sent to SGPGI Lucknow. Throat swabs found negative for Measles and Rubella by RT-PCR. One sample found positive for Measles IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was 3-15 years Cases treated symptomatically. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
Bihar,Jamui,Typhoid,37,0 03-12-2024,,,Under Surveillance,"Cases were reported from health facility CHC Gidhaur, Villages Sansarpur, Sewa, Bandhaura, Banadih, Gidhaur, Gangra, Dhobghat and Ketru Nawada, Sub-District Gidhaur, District Jamui. Cases presented with fever, nausea, loss of appetite. 37 blood samples came positive for Typhoid by Widal at CHC Gidhaur. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene, and sanitation."
Uttar Pradesh,Balrampur,Acute Diarrheal Disease,31,0 25-08-2024,,,Under Control,"Cases were reported from village Gulriha Hisampur, Sub- District Tulsipur, District Balrampur. Cases presented with loose stools and vomiting. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Uttar Pradesh,Balrampur,Acute Diarrheal Disease,21,0 21-08-2024,,,Under Control,"Cases were reported from village Choubey Bithuriya, under CHC Shivpura, Sub-District Balrampur, District Balrampur. Cases presented with loose stools and vomiting. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Andhra Pradesh,Anakapalli,Acute Diarrheal Disease,22,0,08-01-2025,09-01-2025,Under Surveillance,"Cases were reported from a hostel in Sub- District Narsipatnam, District Anakapalli. Cases presented with vomiting and loose stools. One stool and 4 water samples were collected and sent to Andhra Medical College and Regional lab, Vishakhapatnam respectively. One stool sample showed growth of E.coli on culture. Water samples were found to be potable. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Andhra Pradesh,Tirupati,Food Poisoning,23,0,04-01-2025,06-01-2025,Under Surveillance,"Cases were reported from a Girls High School in Village Chandragiri, Sub-District Chandragiri, District Tirupati. Cases presented with vomiting and pain abdomen. All the case developed the symptoms after eating mid-day meal in the school. Water samples sent for testing, were found to be fit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Assam,Nagaon,Diphtheria,1,1,11-01-2025,11-01-2025,Under Surveillance,"Case was reported from Juria MPHC, Village: Pub- Chatian, Sub-District: Rupahi, District: Nagaon. A 15 year old female presented with fever, cough and throat pain. The vaccination status of the case was unknown. one throat swab was collected and sent to Microbiology department, GMCH & Arya Wellness Centre, Guwahati, in which “few KLB like bacilli seen” in Albert Stain. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation. Death of a 15 year old female has occurred due to Diphtheria n 10-01-2025 at Guwahati Medical College and Hospital (GMCH), Guwahati."
Assam,Nagaon,Measles,8,0,06-01-2025,07-01-2025,Under Surveillance,"Cases were reported from Simonabosti BPHC, Village: Lengteng Gaon, Sub-District: Kaliabor, District: Nagaon. Cases presented with fever with rash & cough. The most affected age group was 1-30 years. Total 7 blood samples were collected and sent to Microbiology department, GMCH, Guwahati, out of which 1 was positive for Measles IgM by ELISA. The affected case had receive 1 dose of MR vaccine. All other cases were clinically diagnosed. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Bihar,Jehanabad,Chickenpox,15,0,08-01-2025,08-01-2025,Under Surveillance,"Cases were reported from Village Bhawani Chak, Sub-District Jehanabad, District Jehanabad. Cases presented with fever with rash. Age group of the affected cases was 1-6 years. Three blood samples were collected and sent to PMCH, Patna, all were positive for Varicella Zoster IgM by ELISA. All other cases were epidemiologically linked cases. District RRT investigated the outbreak. Cases treated symptomatically. Vitamin A solution were given to them. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
Bihar,Purbi Champaran,Chickenpox,5,0,09-01-2025,10-01-2025,Under Surveillance,"Cases were reported from Village Kairabani, Sub-District Dumka, District Dumka. Cases presented with fever with rash. Age group of the affected cases was 4-15 years. Three blood samples were collected and sent to DPHL Dumka, all were positive for Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Vitamin A solution were given to susceptible. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
Chhattisgarh,Baloda Bazar,Mumps,15,0,09-01-2025,09-01-2025,Under Control,"Cases were reported from Health Facility: Lavan, Village: Amera, Sub-District: Baloda Bazar, District: Baloda Bazar. Cases presented with swelling in cheek, pain in the neck, fever, and difficulty in swallowing. All cases were less than 10 years of age. Two samples were sent to AIIMS Raipur, both were negative for Mumps. All cases were diagnosed clinically. District RRT investigated the outbreak. Community awareness and health education given by the peripheral team on hygiene and sanitation."
