state,district,disease,no_of_cases,deaths,start_of_outbreak,date_of_reporting,status,action
Jharkhand,Pakur,Fever with Rash,06,0.0,22-01-22,25-01-22,Under Surveillance,"was done in the affected area. Cases reported from Village Bara Kendua, CHC Maheshpur, HSC Devinagar, District Pakur. Blood sample was sent for further lab investigation, it was found to be negative for Measles by IgM ELISA. District RRT investigated the outbreak. Health education was given."
Gujarat,Banaskantha,Viral Hepatitis B,08,0.0,29-01-22,04-02-22,Under Surveillance,"Cases reported from Village/SC/PHC Kuchvada, Bock Deesa, District Banaskantha. 15 blood samples were sent to DPHL Palanpur for further investigation, out of which six samples were found to be positive for Viral Hepatitis by the presence of HbSAg and all the rest were found to be negative. District RRT investigated the outbreak. Health education was given."
Kerala,Ernakulam,Suspected Typhoid,04,0.0,17-01-22,03-02-22,Under Surveillance,"Cases reported from Varapetty, Cheruvathur, Nellikhuzhy, District Ernakulam. The cases presented with fever, loose stools and vomiting. The most affected age group was 5 to 9 years. 12 water samples and 06 stool samples were sent for further lab investigation to RPH Lab, the result is awaited. District RRT investigated the outbreak. Health education was given."
Kerala,Thrissur,Kala Azar,01,0.0,04-01-22,08-02-22,Under Surveillance,"Case reported from PHC Thenkkumkara, CHC Erumapetty, District Thrissur. Case presented with high grade fever with chills and rigors, fever was more during the evening along with anorexia. Bone Marrow Biopsy shows Hypercellular marrow with LD bodies visceral leishmaniasis done at GMCH Thrissur. District RRT investigated the outbreak. Health education was given. Case reported from Mananthavadi, PHC Begur,"
Kerala,Wayanad,Kyasanur Forest Disease,01,0.0,02-02-22,03-02-22,Under Surveillance,"Panavalli, Thirunelli, District Wayanad. The case was a 24-year-old male who was engaged in coffee bean plucking in the nearby forest. He presented with fever and myalgia, later he developed loose stool and was admitted to the local hospital for further diagnosis and treatment. 01 blood sample was sent for further investigation, it was found to be positive for Kyasanur Forest Disease by RT PCR. District RRT investigated the outbreak. Health education was given."
Kerala,Palakkad,Food Poisoning,61,0.0,02-02-22,07-02-22,Under Control,"Cases reported from Chalissery, Main Centre Chalissery 1, District Palakkad. The cases presented with vomiting and had consumed food from the common place. Stool sample was sent to Alappuzha Medical College for further analysis, the result is awaited. Water sample was sent to Palakkad medical college, the result is awaited. District RRT investigated the outbreak. Health education was given."
Telangana,Narayanpet,Food Poisoning,91,0.0,06-02-22,07-02-22,Under Control,"Cases reported from GP Setty Faction Hall, Satyanarayana Temple Road, District Narayanpet. The cause of the outbreak was consumption of food from a common mass gathering. Water sample was sent to RWS for further analysis, the result is awaited. District RRT investigated the outbreak. Health education was given."
Uttar Pradesh,Fatehpur,Acute Encephalitic Syndrome,01,0.0,24-01-22,05-02-22,Under Control,"Case reported from Village Darota Lalpur Fatehpur, PHC Khajuha, Block Khajuha, District Fatehpur. Cases presented with Fever, altered behavior and headache. One CSF sample was sent for further investigation to KGMU Lucknow., the result is awaited. District RRT investigated the outbreak. Health education was given."
Kerala,Palakkad,Food Poisoning,61,0.0,02-02-22,08-02-22,Under Surveillance,"Cases reported from Village/PHC/Block Chalissery, SC Main Center, District Palakkad. Stoll samples were sent to Alappuzha Medical College for further analysis, the result is awaited. Water sample was sent to Palakkad Medical College for further lab investigation, the result is awaited. District RRT investigated the outbreak."
Kerala,Thrissur,Lymes Disease,01,0.0,31-12-21,11-02-22,Under Surveillance,"Health education was given. Case reported from PHC Varantharapilly, CHC Mattathur, District Thrissur. Sample found IgG positive for Borrelia (Lymes Disease) from NIV Bangalore. District RRT investigated the outbreak. Health education was given. Case reported from Village Wateli, SC"
Maharashtra,Gadchiroli,Malaria,01,1.0,09-02-22,10-02-22,Under Surveillance,"Botanfundi, PHC Arewada, Block Bhamragad, District Gadchiroli. The deceased was a 5-year male child. One RDK Sample collected and sent to SDH Aheri, the sample was found to be positive for Plasmodium falciparum. District RRT investigated the outbreak. Health education"
Odisha,Koraput,Acute Diarrheal Disease,15,0.0,11-02-22,12-02-22,Under Surveillance,"was given. Cases reported from Village/SC/PHC Kumuli, Block Boriguma, District Koraput. Three water and Five rectal samples were sent to DPHL bacteriological analysis, the result is awaited. District RRT investigated the outbreak. Health education was given."
Uttar Pradesh,Ballia,Diphtheria,01,0.0,24-01-22,07-02-22,Under Surveillance,"Case reported from Village Gauri Shah Pur, SC Rampur, PHC/Block Maniyar. One Oropharyngeal sample was sent for further investigation, the result is awaited. District RRT investigated the outbreak. Health education was given."
Uttar Pradesh,Ballia,Pertussis,01,0.0,25-01-22,07-02-22,Under Surveillance,"Case reported from Village Rabka Tola, SC Mishra Ke Mathiya, PHC Kotwa, Block Bairia, District Ballia. One Nasopharyngeal sample was sent for further investigation, the result is awaited. District RRT investigated the outbreak. Health education was given."
Gujarat,Ahmedabad,Acute Diarrheal Disease,67,0.0,17-02-22,17-02-22,Under Surveillance,"Cases reported from Village Sathal, SC Ranoda, PHC Ambaliyara, Block Dholka, District Ahmedabad. Cases presented with loose stools. 03 Water samples were sent to Micro Department of Sola Civil Hospital Ahmedabad, and 06 stool samples were sent to Micro Department of Sola Civil Hospital Ahmedabad for further investigation, the result is awaited. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water."
Gujarat,Anand,Food Poisoning,53,0.0,17-02-22,18-02-22,Under Surveillance,"Cases reported from Village/SC Dugari, PHC Khada, Block Tarapur, District Anand. Cases presented with abdominal pain, vomiting and loose stools. District RRT investigated the outbreak. It was found that people had gathered for a marriage function where they consumed contaminated food. No food sample was sent for lab analysis as it was already discarded. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water."
Kerala,Wayanad,Mumps,30,0.0,11-02-22,16-02-22,Under Surveillance,"Cases reported from Kalpetta, Village Kaniyambatta, SC Palliyara, PHC Varadoor, District Wayanad. Cases presented with swollen and pain in the salivary glands. Most of them belonged to the age group of 11-17 years. 10 samples were sent to NIV, AIP and was found positive for Mumps by IgM ELISA. District RRT investigated the outbreak. Health education was given."
West Bengal,Bardhaman DISEASE OUTBREAKS OF PREVIOUS WEEKS REPORTED LATE,Acute Diarrheal Disease,89,0.0,17-02-22,18-02-22,Under Surveillance,"Cases reported from Purba Bardhaman/Ketugram-2/Billeswar, GP/Taipur, Kopa, Gurpara, District Bardhaman. Cases presented with loose stools. 02 Rectal swab samples were sent to BMCH for further investigation, the result is awaited. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water. District RRT investigated the outbreak. Health education was given."
Kerala,Thrissur,West Nile Fever,01,0.0,18-01-,Under 21 Surveillance,"A case was reported from PHC Meloor, CHC Elijipra, District Thrissur. The case presented with fever, vomiting, vertigo and loss of orientation to time, place and person. One CSF Sample was sent to Hospital Angamaly for lab investigation and was found Encephalitis. Alapuzha for confirmation, which was found to be positive for West Nile by IgM ELISA. the outbreak. Health education was given regarding importance of vector control measures.",to be positive for Japanese Another CSF sample was sent to NIV District RRT investigated Anti-larval spray was used and fogging done.
Kerala,Trivandrum,Acute Diarrheal Disease,05,0.0,14-2-22,Under Surveillance,"Cases reported Trivandrum. Cases presented with fever, loose stools and vomiting. Apparently the cases had consumed food from a fast food stall, following few hours they developed symptoms. The team observed kitchen area. There was improper management of waste. Instructions were given the deficiencies. Symptomatic treatment was given to all the cases. importance of safe drinking water and properly cooked food.","from UPHC Chaikottukonam, District District RRT investigated the outbreak. that poor hygiene was maintained in the to the hotel authorities to rectify Health education was given regarding"
West Bengal,Howrah,Hepatitis A,44,0.0,02-02-,Under 22 Surveillance,"Cases reported from Bhujanga Dhar Lane, Satyasadhan Dhar Lane, Chasipara Under Liluah, Potuaparatua Para, HMC Ward 63 Howrah, District Howrah. Cases presented with jaundice. 05 water samples were sent to NICED for further in Hepatitis A of infection contamination of drinking water with drainage Symptomatic Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water. RRT investigated given.","vestigation, and was found positive for Viral . District RRT investigated the outbreak. Source was found to be pipeline leakage and water. treatment was given to all the cases. District the outbreak. Health education was"
Gujarat,Panchmahal,Acute Flaccid Paralysis,07,0.0,22-02-22,22-02-22,Under Surveillance,"Cases reported from Village Khadi Faliya, SC Ward 2,3, PHC Khadi Faliya, Block Godhra, District Panchmahal. Cases presented with pain and weakness in upper and lower limbs, inability to walk. Seven stool and five throat swab samples were collected by WHO team and sent to Civil Hospital, Ahmedabad. Result is awaited. District RRT investigated the outbreak. Health education was given."
Kerala,Kasaragod,Leptospirosis,18,0.0,21-02-22,23-02-22,Under Surveillance,"Cases reported from Village Panathady, PHC Madikkai, FHC Karindalam, Block Nileshwer, District Kasaragod. Cases were reported among paddy field workers. They presented with fever. 63 blood samples were collected and sent to RPH Lab Kannur. Out of these, 18 were found to be positive for Leptospirosis by IgM ELISA. District RRT investigated the outbreak. Symptomatic treatment was given. Doxycycline prophylaxis was given to all. Health education"
Kerala,Ernakulam,Hepatitis B,09,0.0,13-12-21,02-03-22,Under Surveillance,"was given. Cases reported from Village Edakkattuvayal, PHC Thottur, Block Keeechery, District Ernakulam. Cases presented with fever, general weakness, jaundice and loss of appetite. 38 blood samples were collected and sent to RPH Lab, Ernakulam. Of these, seven samples were found positive for HBsAg. District RRT investigated the outbreak. Health education was given."
Karnataka,Tumkur,Chickenpox,09,0.0,24-02-22,25-02-22,Under Surveillance,"Cases reported from a school in Village Baguru, Taluka, Sira, District Tumkur. District RRT investigated the case. Two Blood samples were collected and both were found positive for Chickenpox by IgM ELISA. District RRT investigated the case. Health education was given."
Odisha,Subarnapur,Chickenpox,08,0.0,21-02-22,02-03-22,Under Control,"Cases reported from Village Lumurejuna, SC Bagbar SC, Block Birmarajpur SD, District Subarnapur. Cases presented with fever with rashes. District RRT investigated the case. No samples collected yet. Health education was given."
Tamil Nadu,Cuddalore,Food Poisoning,29,0.0,25-02-22,26-02-22,Under Control,"Cases reported from Village Athiyanallur, PHC Ayeepuram, HSC Velangipattu, Block Parangipettai, District Cuddalore. Two eggs and water samples were collected and sent to Regional Forensic Science Lab, Coimbatore and DPHL, Cuddalore. Result awaited. District RRT investigated the case. Health education was"
West Bengal,Burdwan,Food Poisoning,89,0.0,17-02-22,18-02-22,Under Surveillance,"given. Cases reported from Village Gurpara, SC Kopa, PHC Billeswar, Block Purba Bardhaman, District Burdwan. District RRT investigated the case. Two Rectal swab collected and sent to BMCH. Result awaited. District RRT investigated the case. Health education was given. Cases reported from Village Ward No. 2, DH"
West Bengal,South 24 Parganas,Acute Diarrheal Disease,21,0.0,23-02-22,23-02-22,Under Control,"Municipality, DHHD, District South 24 Parganas. Cases presented with vomiting, abdominal pain and loose stools. District RRT investigated the case. Five Rectal swabs were collected and sent to Diamond Harbour Govt. Medical College and Hospital. Result awaited. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water."
West Bengal,Howrah DISEASE OUTBREAKS OF PREVIOUS WEEKS REPORTED LATE,Hepatitis A,56,0.0,02-02-22,09-02-22,Under Surveillance,"Cases reported from Village HMC Ward 63, SC Chasipara under Liluah Potuaparatua Para, PHC Satyasadhan Dhar Lane, Block Bhujanga Dhar Lane, District Howrah. Cases presented with vomiting, stomach and jaundice. District RRT investigated the case. Five water samples were collected from suspected taps of the households from different locations and sent to NICED. None of the samples showed any growth of organism. Seven blood samples were collected for lab investigation and all of them were found positive for Hepatitis A. Symptomatic treatment was given to all the cases. Bleaching powder was distributed. Health education was given regarding importance of safe drinking water."
