state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
Madhya Pradesh,Gwalior,xviii. Acute Diarrhoeal Disease,346 / 0,,,,Under Control,"Outbreak reported from Ward 13 & 14 of Urban area of Dabra Block, due to contamination of drinking water with sewage caused by leakage in water supply pipeline. Treatment given to patients by District RRT team. Door to door survey done for new cases. Chlorine tablets and ORS packets distributed. Chlorination of water sources done. IEC activities undertaken to prevent spread of the outbreak in the community."
Uttarakhand,Pithoragarh,xix. Acute Diarrhoeal Disease,16 / 0,,,,Under Control,"Cases reported from Igardevi area with symptoms of vomiting, loose motion and fever. No history of consumption of common food items elicited. All cases treated with antibiotics and ORS packets. Water samples taken for lab analysis. IEC activities done regarding hygiene and consumption of safe drinking water."
West Bengal,Purulia,xx. Acute Diarrhoeal Disease,105 / 0,,,,Under Control,"Outbreak reported from Dimdiha village (32 cases) of Chakaltore block, and, Muradih village (73 cases) of Santuri block. District RRT visited the affected areas. Water samples and rectal swab samples sent to PHE lab for analysis; results waited. Anti diarrhoeal drugs and ORS packets distributed. Disinfection and chlorination of water sources done. IEC activities undertaken."
Karnataka,Bijapur,Acute Diarrhoeal Disease,200 / 0 *,,,,Under Control,"Outbreak reported from Hadagali village, Muddebihal town, PHC Muddebihal, Taluka Muddebihal due to consumption of contaminated water of open well. Stool culture for cholera at district lab tested negative. Water samples found bacteriologically contaminated. Disinfection and chlorination of water sources done. Halogen tablets and ORS packets distributed. Health education given regarding personal hygiene."
Andhra Pradesh,Kadapa,i. Acute Diarrhoeal Disease,18 / 0,,03.07.09,04.07.09,Under Control,"Outbreak reported from Jothi Colony (V) Settigunta S/c Rly. Kodur PHC due to consumption of contaminated water. The District Rapid Response Team (RRT) along with the PHC medical officer and paramedical staff visited the affected area and took control measures. Water sample has been collected for bacteriological examination, and stool samples have been sent for lab investigations; reports awaited. Chlorination and disinfection of water sources done and ORS packets distributed. Health education given regarding sanitation and hygienic practices."
Assam,Sivsagar,ii. Japanese Encephalitis,20 / 10,,04.07.09,06.07.09,Under Surveillance,"Cases reported from Galakey, Demow, Sapekhati, Khelua and Morabazar BPHC with history of fever with unconsciousness or altered sensorium. Serum and CSF samples sent to RMRC, Dibrugarh tested positive for Japanese Encephalitis. Blood smears from fever cases tested negative for malaria. State programme officer of NVBDCP taking control of situation along with medical officer and paramedical staff. Active surveillance being done to find new cases. Bed nets distributed and health education given about personal prophylactic measures."
,Kamrup,iii. Acute Diarrhoeal Disease,5 / 1,,30.06.09,02.07.09,Under Control,Cases reported from Dhirenpara (Idgah Path) Guwahati due to consumption of contaminated water. Water samples sent to Microbiology Dept. Guwahati Medical College & Hospital (GMCH) for bacteriological test. Active search being done for new cases. Health education given regarding sanitation and hygienic practices and people asked to drink clean boiled water.
Haryana,Palwal,iv. Acute Diarrhoeal Disease,57 / 0,,05.07.09,05.07.09,Under Control,"Outbreak reported from Mahluka village due to consumption of contaminated water. OPD was conducted at the village by Medical Officer of CHC, Hathin. House to house survey done and ORS packets distributed. Water samples on lab analysis did not show contamination. IEC activities undertaken for creating awareness regarding safe water and hygiene."
Himachal Pradesh,Mandi,v. Acute Diarrhoeal Disease,53 / 0,,05.07.09,05.07.09,Under Control,Outbreak reported from Haribhena village under Gopalpur block due to consumption of contaminated water. IEC activities done and ORS packets distributed among villagers. Chlorination and disinfection of water sources done. Health education given regarding sanitation and hygienic practices.
Madhya Pradesh,Betul,vi. Acute Diarrhoeal Disease,59 / 1,,27.06.09,27.06.09,Under Control,"Outbreak reported from Palaskhedi village, Bainsdehi block due to consumption of contaminated water. RRT visited the affected area and investigated the outbreak. Chlorination and disinfection of water sources done. Health education given regarding sanitation and hygienic practices."
