state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
,Tiruchirapalli,xxii. Food Poisoning,18,0,10/03/13,17/03/13,Under control,"Outbreak of loose motion and vomiting reported from Village /SC Samayapuram, Block Ianachanalli, District Tiruchirapalli All cases consumed food in a temple. District RRT investigated the outbreak. Cases treated at local health centre and Govt. Hospital Manachanallur. 3 food samples collected and sent to KAPV Medical College which showed growth of no pathogen. Health education given regarding safe food habits."
,Tiruvannamalai,xxiii. Leptospiro sis,18,0,13/03/13,13/03/13,Under control,"Outbreak reported from Village/SC Athippakham, PHC Vazhur, Block polur, District Tiruvannamalai. District RRT investigated the outbreak. House to house fever survey done. Cases treated symptomatically. Out of 5 serum samples collected and sent to ZET Vellore, 2 samples were positive for leptospirosis (IgM ELISA). Anti- larval activities done. IEC done regarding safe drinking water, hygiene, sanitation and personal protection."
,Virudhunagar,xxiv. Fever,24,0,12/03/13,13/03/13,Under control,"Outbreak reported from Village/SC Minakulam, PHC Veeracholan, Block Narikudi, District Virudhunagar.District RRT investigated the outbreak. Active search for fever cases done. Cases treated locally. Out of 6 blood samples collected, 3 samples were positive for widal. Health education given regarding safe drinking water, hygiene and sanitation"
,Kurung Kumey,xxv. Acute Diarrhoeal Disease,14,1,24/02/13,,Under control,"Cases of gasteroenteritis reported from Parsi Parlo, District Kurung Kumey. Medical team investigated the outbreak. Cases treated locally. ORS packets given to cases. Chlorination of water sources done. IEC done regarding safe drinking water."
Bihar,Madhubani,xxvi. Chickenpox,15,0,27/02/13,,Under control,"Cases of fever with rash reported from Village & SC Madhwapatti, PHC Benipatti, District Madhubani. Block health team investigated the outbreak. House to house fever survey done. All cases were treated symptomatically. IEC done regarding isolation of cases and personal hygiene."
,,xxvii. Chickenp ox,42,0,02/03/13,,Under control,"Outbreak of fever with rash reported from Village Rakhwari/SC Rakhwari, PHC Andhrathadi, District Madhubani. District RRT investigated the outbreak. Temporary health camp organized in the locality. Cases treated symptomatically. IEC done regarding isolation of cases."
,Nalanda,xxviii. Chickenp ox,17,0,19/02/13,,Under control,"Cases of fever with vesicular rash reported from Village Lakhnubigha, SC Bigha, PHC Asthawan, District Nalanda. Medical team investigated the outbreak. People were living in poor sanitary condition. Symptomatic treatment given to cases. Most of the cases were less than 15 yrs of age. Health education given regarding isolation of cases."
,,xxix. Chickenpox,24,0,04/03/13,,Under control,"Cases reported from Village Parsural, PHC Islampur, District Nalanda. District RRT and Block health team investigated the outbreak. Active search for fever case done. Cases treated symptomatically. Most of the cases were below 15 yrs of age. Health education given."
Goa,South Goa,xxx. Dengue,11,1,17/02/13,,Under control,"Cases of fever with arthralgia and myalgia reported from Area Mobor, PHC Chinchinim, District Goa. District RRT investigated the outbreak. House to house fever survey done. Cases treated at local health facility. Out of 11 serum samples collected, 4 samples were positive for Dengue (IgM ELISA). Fogging done in the affected area. IEC done."
Gujarat,Rajkot and several districts,xxxi. Influenza A H1N1,652 (lab confir med cases),121,01/01/13,,Under Surveilla nce,"Outbreak of Influenza A H1N1 has been reported since early January 2013 in several Districts of Gujarat namely Rajkot (179 cases, 29 deaths), Jamnagar (98 cases, 11 deaths), Ahmedabad (82 cases, 18 deaths), Amreli (73 cases, 7 deaths), Kutch (39 cases, 15 deaths), Junagadh (37 cases, 5 deaths), etc. Cases presented with symptoms of breathlessness, cough, sore throat, mild fever and running nose. Out of 1598 samples collected, 652 samples were positive for Influenza A H1N1. A total of 121 deaths were reported during January to 17th March 2013. A central team had visited Districts Ahmedabad, Rajkot and Jamnagar to investigate the outbreak."
Jammu & Kashmir,Baramulla,xxxii. Fever,21,0,03/03/13,,Under control,"Outbreak reported from Village Rawoocha, Block Dangiwacha, District Baramulla. Distrcit RRT investigated the outbreak. House to house survey done. All 6 blood culture did not show growth of pathogens. Out of 18 blood samples tested , 9 samples were positive for Widal. Cases treated symptomatically. Chlorine tablets distributed in the affected area. Health education given regarding safe drinking water, hygiene and sanitation."
Karnataka,Raichur,,54,0,04/03/13,,Under control,"Outbreak of loose motion reported from Village Hampnal, PHC/CHC Balagnoor, Bock Sindhanur, District Raichur. District RRT investigated the outbreak. Temporary health camp organized in the locality. Cases treated. Chlorine tablets and ORS packets distributed in the community. IEC done regarding safe drinking water, hygiene and sanitation."
,Tumkur,xxxiv. Fever,26,0,02/03/13,,Under control,"Cases reported from Village Hanumanthanhalli, PHC/CHC Patnayakanahalli, Block Madhugiri, District Tumkur. District RRT investigated the outbreak. House to house fever survey done by paramedical team. Cases treated locally. All 26 blood smears collected tested negative for malaria, 3 serum samples collected which tested negative for Dengue & Chikungunya. Anti-larval activities and fogging done in the affected area. IEC done."
,,xxxv. Chikungu nya,27,0,02/03/13,,Under control,"Cases of fever with joint pain reported from Village Nejanthi, PHC/CHC Dodahullikunte, Block Sira, District Tumkur. District RRT investigated the outbreak. House to house fever survey done. Cases treated symptomatically. 27 blood smears collected which tested negative for malaria. Out of 8 serum samples collected, 4 samples were positive for Chikungunya (IgM ELISA). Vector control measures undertaken. IEC done."
,Yadgiri,xxxvi. Acute Diarrhoeal Disease,101,0,28/02/13,,Under control,"Outbreak of loose motion and vomiting reported from Village Badiyal, PHC/CHC Malhar, Block & District Yadgiri due to consumption of contaminated pond water at Marthalalli Yellamma fair. District RRT investigated the outbreak. Temporary medical camp organized. Cases treated symptomatically. Medicine and ORS packets given to cases. Chlorine tablets distributed in the locality. Health education given regarding non consumption of pond water in the affected area."
Kerala,Idukki,xxxvii. Chikungu nya & Dengue,27,0,22/02/13,,Under control,"Cases of fever with arthralgia and myalgia reported from Village Kumily, SC Roosapookandam, PHC kumily, Block Azhutha, District Idukki. District RRT investigated the outbreak. Active search for fever cases done. Cases treated at local health centre. Affected area was a slum area with people having practice of water storage. Out of 27 serum samples collected, 11 samples were positive for Chikungunya and 3 for Dengue (IgM ELISA). Anti-larval activities and fogging done in the affected area."
,Kollam,xxxviii. Food Poisoning,22,0,03/03/13,,Under control,"Cases of loose motion, vomiting and abdominal pain reported from Village Sasthamoottah, SC Pallisserika, PHC/Block Sooranad, District Kollam. District RRT investigated the outbreak. People consumed food in common village gathering. Cases treated symptomatically. Health education given regarding safe food habits."
,,xxxix. Dengue,20,0,03/03/13,,Under control,"Cases of fever with arthralgia reported from Village/SC Mylapur, PHC Thrikkovilvattom, Block Palathara, District Kollam. Medical team investigated the outbreak. Active search for fever cases done. Cases treated at local health centre. Out of 14 serum samples collected, 5 samples were positive for Dengue (IgM ELISA). Fogging done in the affected area. IEC done."
,Palakkad,xl. Viral Hepatitis,12,0,22/02/13,,Under control,"Cases of jaundice reported from Village Mundurl, SC Pudannur, PHC Mundur, Block Kongad, District Palakkad. District RRT investigated the outbreak. House to house survey done. Cases treated locally. Chlorination of water sources done. Health education given regarding safe drinking water, hygiene and sanitation."
,Wayanad,xli. Viral Hepatitis A,106,0,01/02/13,,Under control,"Cases of jaundice, anorexia and abdominal pain reported from Village/SC Niravilpuzha, PHC Thondernad, Block Mananthavady, District Wayanad. District RRT investigated the outbreak. House to house survey done. 5 serum samples collected which tested positive for Hepatitis A (IgM ELISA). IEC done."
Madhya Pradesh,Jabalpur,xlii. Viral Hepatitis E,38,0,02/03/13,,Under control,"Outbreak of jaundice reported from Village Gandhigram, SC Budhagar, PHC Bamhori, Block Majhgawa, District Jabalpur. District RRT investigated the outbreak. House to house survey done by paramedical team. Cases treated locally. Out of 38 serum samples collected, 32 samples were positive for Hepatitis E (IgM ELISA). Control measures undertaken. IEC done regarding safe drinking water, hygiene and sanitation."
Maharashtra,Solapur,xliii. Fever,52,0,03/03/13,,Under control,"Outbreak reported from Village/SC Kondi Tanda, PHC Kondi, Block North Solapur, District Solapur. District RRT investigated the outbreak. House to house fever survey done. Cases treated symptomatically. All 52 blood smears examined tested negative for malaria. IEC done."
Odisha,Balasore,xliv. Measles,25,0,27/02/13,,Under control,"Outbreak of fever with rash reported from Village Shibapura, CHC Gopalpur, Block Bahanaga, District Balasore. Medical team investigated the outbreak. Cases treated symptomatically. Health education given regarding isolation of cases."
Andhra Pradesh,Chittoor,i. Acute Diarrhoeal Disease,21,0,21/03/13,23/03/13,Under control,"Outbreak of loose motion and vomiting reported from Village Chinnapareddy, SC Balakavaripalli, PHC Kosuvaripalli District Chitoor. District RRT investigated the outbreak. House to house survey. Cases treated symptomatically. Temporary medical camp organized in the locality. All 3 stool samples collected were negative for Cholera culture. Health education given regarding safe drinking water, hygiene and sanitation."
,Cuddapah,ii. Food Poisoning,102,0,24/03/13,24/03/13,Under control,"Outbreak of loose motion and vomiting reported from Village/PHC Thallapali, CHC Vempalli, District Cuddapah, due to consumption of contaminated food. Medical team investigated the outbreak. Medical camp organized in the affected area. Cases treated symptomatically. All cases recovered. Health education given"
,Mahabubnaga r,iii. Fever,17,0,20/03/13,23/03/13,Under control,"Cases of fever with joint pain reported from Village Ayyavaripally, SC Kollampally, PHC Kotakonda, Block Narayanpet, District Mahabubnagar. District RRT investigated the outbreak. Active search for fever cases done. Cases treated at local health centre. All 11 blood smears collected were negative for malaria parasite. Out of 7 serum samples collected I sample was positive for Chikungunya (IgM ELISA). Entomological survey done. Anti-larval activities done in the affected area. IEC done."
,Nizamabad,iv. Fever,30,2,17/03/13,23/03/13,Under control,"Outbreak of fever with body pain reported from Village/SC Manala, PHC Kamarpally, CHC Morthad, District Nizamabad. Distrcit RRT investigated the outbreak. Active search for fever cases done. Temporary medical camp organized in the locality. All cases treated. 30 blood smears and 1 serum sample collected and sent to Gandhi Medical college; result awaited. Anti-larval activities done in the affected area. Health education done."
,Prakasam,v. Fever,14,0,18/03/13,21/03/13,Under control,"Cases of fever with joint pain reported from Village Vemavaram, SC Uppumagulur, PHC Guntupalli, Block Ballikurava, District Prakasam. Medical team investigated the outbreak. House to house survey done. All cases treated locally. All 14 blood smears collected were negative for Malaria. 1 serum sample collected tested negative for Dengue & Chikungunya (IgM ELISA). Anti-larval activities done in the affected area. Health education done"
,Warangal,vi. Food Posioning,23,0,23/03/13,23/03/13,Under control,"Outbreak of vomiting and loose motions reported from AP Social Welfare School, Village Vallabhnagar, PHC Banojipet, CHC Narsampet, District Warangal due to consumption of contaminated food (curd). District RRT investigated the outbreak. Temporary medical camp organized. All cases treated symptomatically. Health education given regarding food hygiene."
Bihar,Araria,vii. Measles,13,0,16/03/13,19/03/13,Under control,"Cases of fever with rash and conjunctivitis reported from Village Borhar (Yadav Tola Ward No 11), Block Narpatganj, District Araria. Medical team visited the affected area. Cases treated locally. Health education given regarding isolation of cases."
Gujarat,Surendranagar,viii. Food Poisoning,14,0,23/03/13,23/03/13,Under control,"Cases reported from Village Fulgram, PHC Rampara, Block Wadhwan, District Surendranagar due to consumption of contaminated food. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Distribution of ORS packets and chlorine tablets done. IEC activities done."
Karnataka,Bijapur,ix. Measles,46,0,18/03/13,23/03/13,Under control,"Outbreak of fever with rash reported from Village Chowdihal, PHC/CHC Athrga, Block Indi, District Bijapur. Distrcit RRT investigated the outbreak. Active search for fever cases done in the affected area. Cases treated symptomatically. Vitamin A solution given to cases. Health education given regarding isolation of cases."
,Dakshina Kannada,x. Measles,10,0,22/03/13,23/03/13,Under control,"Outbreak of fever with rash reported from Village Balila, PHC/CHC Panja, Block Sullia, District Dakshina Kannada. District RRT investigated the outbreak. Active search for fever cases done in the affected area. Cases treated symptomatically. Health education given regarding isolation of cases."
,Haveri,xi. Cholera,72,1,18/03/13,19/03/13,Under control,"Outbreak reported from Village Belavigi, PHC/CHC Negalur, Block & District Haveri. District RRT investigated the outbreak. House to house survey done. Out of 9 stool samples collected, 6 samples were positive for cholera by culture. ORS packets and chlorine tablets distributed in the community. Chlorination of water sources done. IEC done."
,Chamarajanag ar,xii. Dengue,23,0,18/03/13,20/03/13,Under control,"Outbreak reported from Villages Adhi Jambava Street & Kogenahalli, PHC/CHC & Kamgere, Block Kollegal District Chamrajnagar. District RRT investigated the outbreak. Out 4 serum samples collected and sent to MMC, Mysore, 2 samples were positive for Dengue (IgM ELISA). Control measures undertaken."
Maharashtra,Nashik,xiii. Food Poisoning,77,0,19/03/13,22/03/13,Under control,"Outbreak of abdominal pain, nausea, vomiting & loose motion reported from Village Patrachapada, SC Kharoli, PHC Amboli, Block Trimbak, District Nashik due to consumption of contaminated food (marriage party). Medical team investigated the outbreak. Cases treated at RH Trimbak and all recovered. 3 food samples were collected & sent to DPHL Nashik; result awaited. Health education given."
,Pune,xiv. Acute Diarrhoeal Disease,75,0,15/03/13,18/03/13,Under control,"Outbreak of loose motion, vomiting and abdominal pain reported from Village Mavadi Kap, PHC Belsar, Block Purandar, District Pune. District RRT investigated the outbreak. House to house survey done. Cases treated locally. Chlorination of water sources done. Disinfection of surrounding done in the affected area. IEC done regarding safe drinking water, hygiene and sanitation."
,Washim,xv. Food Poisoning,84,0,19/03/13,21/03/13,Under control,"Outbreak of nausea & vomiting reported from Village & PHC Jaluka, Block Malegaon, Distrcit Washim due to consumption of contaminated food (Mahaprasad). District RRT investigated the outbreak. Cases treated locally. Health education given regarding safe food habit, hygiene and sanitation."
Madhya Pradesh,Mandla,xvi. Malaria,14,0,20/03/13,22/03/13,Under control,"Cases reported from Village Kharrachaparraiyat SC Machla, Block Mohagoan, District Mandla. Medical team investigated the outbreak. House to house fever survey done. Cases treated symptomatically. Out of 14 blood smear collected, 7 smears were positive for P. falciparum. IEC done regarding personal protection."
,Neemuch,xvii. Measles,43,0,21/03/13,23/03/13,Under control,"Outbreak of fever with rash reported from Village Kojya, Block Diken, District Neemuch. District RRT investigated the outbreak. House to house survey done. Cases treated symptomatically. Vitamin A solution given to cases. Health education given regarding isolation of the cases."
Odisha,Rayagada,xviii. Chickenpox,11,0,14/03/13,21/03/13,Under control,"Outbreak of fever with rash reported from Village Bishnuguda, SC Pitamhal, Block/CHC Jamadeipentha, Distrcit Rayagada. District RRT investigated the outbreak. Active search for fever cases done. Cases treated locally. IEC done."
Tamilnadu,Dindigul,xix. Fever Leptospirosis??,15,0,15/03/13,19/03/13,Under surveillan ce,"Cases of fever with joint pain and headache reported from Village Palvarpatti, SC/PHC D.Gudalur, Block Guziliamparai, District Dindigul. Medical team investigated the outbreak. Active search for fever cases done. 12 blood smears collected which tested negative for malaria. Out of 3 serum samples collected and sent to ZET, Dindigul, 1 sample was positive for Leptospirosis (IgM ELISA). Anti-larval activities done in the affected area. IEC done."
,,xx. Chickenpox,10,0,19/03/13,21/03/13,Under control,"Cases of fever with rash reported from Village/SC Athoor, District Dindigul. Medical team investigated the outbreak. House to house survey done by paramedical team. Cases treated symptomatically. Health education given regarding isolation of cases."
,Theni,xxi. Chickenpox,19,0,21/03/13,22/03/13,Under control,"Cases of fever with vesicular rash reported from Village Kombukaranpuliyur, SC Melapatti, PHC Kadamalaikundu, Block K. Mayiladumparai, District Theni. District RRT investigated the outbreak. Cases treated locally. Health education given regarding isolation of cases and hygiene maintenance."
Uttarakhand,Nainital,xxii. Viral Hepatitis,11,0,15/03/13,24/03/13,Under control,"Cases of jaundice, anorexia and dark coloured urine reported from Village Bhankar, Block Bhimtal, District Nainital. Block health team investigated the outbreak. House to house survey done. Cases treated locally. Chlorination of water sources done in the affected area. IEC activities done regarding safe drinking water, hygiene and sanitation."
West Bengal,Bardhaman,xxiii. Food Poisoning,57,1,23/03/13,24/03/13,Under control,"Outbreak of loose motion, abdominal pain and fever reported from Pt Raghunath Memorial Residential High School, Village Rampur, Block Dangal due to consumption of contaminated food (breakfast made of Gur, Muri, Chola, rice and vegetables) which was prepared one day before. District RRT & Block health team investigated the outbreak. Cases treated at BPHC Panagarh and at SDH Durgapur. 1 death occurred in a female patient aged 8 years. Health education given regarding safe food habits."
,Howrah,xxiv. Food Poisoning,274,0,16/03/13,18/03/13,Under control,"Outbreak of loose motion, vomiting and abdominal pain reported from Village Santrapara, SC Chalunia, Block Amta-I, District Howrah due to consumption of contaminated food Prasad Bhog (prepared from chira, dohi, ghi, fruits) in a religious function. District RRT investigated the outbreak. Temporary medical camp established in the affected area. Cases treated symptomatically. 134 patients treated at local health centre. All cases recovered. 1 stool sample collected and sent to NICED, Kolkata which did not show growth of any pathogen. Food samples collected; result awaited. Health education given."
,Nadia,xxv. Food Poisoning,89,0,22/03/13,22/03/13,Under control,"Outbreak of loose motion, vomiting and abdominal pain reported from Village Bagdia, Block Arbandi-II, District Nadia due to consumption of contaminated food (Shirni) in a community function. District RRT & Block Health team investigated the outbreak. Cases treated locally. 71 patients treated at SGH Sanitpur. Health education given."
Andhra Pradesh,Nalgonda,xxvi. Viral Hepatitis,24,0,09/03/13,,Under control,"Cases of jaundice reported from Village Kanamukula, SC Vankamidi, PHC Pochampally, District Nalgonda. Block health team investigated the outbreak. House to house survey done by paramedical team. Temporary medical camp organized in the locality. Cases treated. Out of 19 serum samples collected, 7 samples showed increase in serum bilirubin. Chlorine tablets distributed in the community. Health education given regarding use use of boiled water for drinking purpose, hygiene and sanitation."
Bihar,Kishanganj,xxvii. Measles,41,0,22/01/13,,Under control,"Outbreak of fever with rash reported from Village saradigi, Block Pothia, District Kishanganj. Block health team investigated the outbreak. House to house fever survey done. Cases treated symptomatically. Cases were below 15 years of age. Vitamin A solution given to cases. Out of 5 serum samples collected and sent to PMCH Patna, 3 samples were positive for Measles (IgM ELISA). Health education given regarding isolation of cases."
,Sitamarhi,xxviii. Chickenp ox,15,0,12/03/13,,Under control,"Cases of fever with vesicular rash reported from Jamiatul habib madarsa, Village Pupari, Block Gadha, District Sitamarhi. Medical team investigated the outbreak. Cases treated locally. Cases were in age group 8 to 14 years. Health education given regarding isolation of cases."
Chattisgarh,Janjgir,xxix. Chickenpox,17,0,02/03/13,,Under control,"Cases of fever with rash reported from Village Pendri, SC Sukali, PHC Dhurkot, District Janjgir. Block health team investigated the outbreak. House to house fever survey done. Medicine given to cases. Affected cases were children in age group 2 to 12 years. Health education given"
Jharkhand,Pakur,xxx. Measles,17,0,22/02/13,,Under control,"Cases of fever with maculopapular rash reported from Village Ramchandrapur, PHC Beldanga, Block & District Pakur. The affected area was densely populated with poor sanitary conditions. Medical team investigated the outbreak. House to house survey done. Cases were of low socioeconomic strata. Symptomatic treatment given to cases. Health education given regarding isolation of cases."
,Bijapur,xxxi. Measles,72,0,09/03/13,,Under control,"Outbreak of fever with rash reported from Villages Hadalsang and Sonakanhalli, PHC Inchgeri, Block Indi, District Bijapur. House to house fever survey done. Cases treated symptomatically. Vitamin A solution given to cases. IEC done."
Kerala,Kollam,xxxii. Viral Hepatitis,26,0,03/03/13,,Under control,"Cases of jaundice reported from Village Thazhuthala, SC Mylapur, PHC Palathara, Block Thrikkovilvattam, District Kollam. District RRT investigated the outbreak. House to house survey done. Cases treated locally. 4 serum samples collected; result awaited. Chlorination of water sources done. Health education given regarding safe drinking water, hygiene and sanitation."
Maharashtra,Raigad,xxxiii. Dengue,27,0,10/03/13,,Under control,"Cases of fever with arthralgia and myalgia reported from Village Waral, PHC Mendadi, Block Mhasala, District Raigad District RRT investigated the outbreak. Active search for fever cases done. Cases treated at local health centre. Out of 14 serum samples samples collected; 7 samples were positive for Dengue (IgM ELISA). Fogging done in the affected area. IEC done."
,Thane,xxxiv. Measles,8,1,08/03/13,,Under control,"Cases of fever with maculopapular rash, cough & conjunctivitis reported from Village Kothala, SC Dakane, PHC Kasara, Block Shahapur, District Thane. Medical team investigated the outbreak. The affected area was of tribal population. Cases were detected during measles weekly surveillance in the affected area. Symptomatic treatment and Vitamin A solution given to cases. A 3 year old girl died due to post measles pneumonia. Health education given regarding isolation of cases."
,,xxxv. Measles and Rubella,11,0,07/03/13,,Under control,"Cases of fever with rash reported from Village/SC Padgha, Block Bhiwandi, District Thane. Medical team investigated the outbreak. House to house survey done. Cases treated symptomatically. Cases were in age group 3-17 years. Vitamin A solution given to cases. Out of 5 serum samples collected and sent to NIV Pune, 2 samples were positive for Measles and 2 for Rubella (IgM ELISA). Health education given regarding isolation of cases and personal hygiene."
Odisha,Sundargarh,xxxvi. Measles,21,0,05/03/13,,Under control,"Cases of fever with rash reported from Villages Khutgaon and Mundgaon, SC Ulsurei, Block Lahunipara, District Sundargarh. District RRT investigated the outbreak. Cases treated symptomatically. 10 serum samples collected; result awaited. Health education given."
Rajasthan,Udaipur,xxxvii. Acute Diarrhoeal Disease,29,0,06/03/13,,Under control,"Cases of loose motion and vomiting reported from Village Khartana, SC Sanwad, Block Mavli, District Udaipur due to consumption of contaminated water (pipeline leakage). Medical team investigated the outbreak. House to house survey done. Cases treated at local health centre. 4 stool samples collected which tested positive for E.coli by culture. Chlorine tablets and ORS packets distributed in the community. Pipeline leakages repaired. IEC activities undertaken."
West Bengal,Jalpaiguri,xxxviii. Measles,41,0,10/03/13,,Under control,"Cases of fever with rash reported from Village Rheabari TG, SC Palashbari, Block Dhupgiri, District Jalpaiguri. District RRT & Block health team investigated the outbreak. Active search for fever cases done. Cases treated symptomatically. Vitamin A solution given to cases. Most of the cases were below 10 years of age. IEC done."
Andhra Pradesh,Krishna,i. Food Poisoning,608,0,24/03/13,31/03/13,Under control,"Outbreak of loose motion, vomiting and abdominal pain reported from Villages Perisepalli, Jujjavaram, Pasumarru, Mallavaram Kapavaram & Dokiparru, Block Pamarru, District Krishna due to consumption of contaminated food (Butter milk) in Kalyan Utsavam and Anna Smaradhana organized at Village Perisepalli. District RRT investigated the outbreak. Population of the affected area was 5000. House to house survey done by paramedical team. Medical camps were organized at the village level. Cases treated at local health centers. All patients recovered. 2 stool sample collected and sent to Siddhartha Medical College, Vijaywada; result awaited. 7 water samples collected which were non potable. IEC done."
,Mahabubnagar,ii. Chikunguny a and Dengue,13,0,25/03/13,31/03/13,Under control,"Cases of fever with joint pain and body pain reported from Village Peddaporla, SC Chinnaporla, PHC & Block Utkoor, District Mahabubnagar. Medical team investigated the outbreak. House to house survey done. Cases treated locally. Entomological survey done. All 10 blood smears collected were negative for Malaria parasite. Community had practice of storing water in their households. Out of 4 serum samples collected, 3 samples were positive for Chikungunya and 1 was positive for Dengue (IgM ELISA). Ant-larval operations done in the community. Health education given."
Assam,Goalpara,iii. Food Poisoning,426,0,30/03/13,31/03/13,Under control,"Outbreak of loose motion, vomiting, mild fever and abdominal pain reported from Villages Sarapara and Karipara, SC Karipara, PHC Matia, District Goalpara due to consumption of contaminated food Prasad (gram) in social function (Dol Jatra) organized at Village Sarapara. District RRT investigated the outbreak. House to house survey done. Population affected was 1600. Cases were treated at Matia PHC and Dudhnoi CHC. 209 cases treated at Goalpara Civil Hospital. All cases recovered. 6 stool samples collected and sent to GMCH which tested negative for cholera culture. 4 water samples collected which were non potable. Food sample collected and sent to Public Health Laboratory, Guwahati which did not show growth of pathogens. Health education given."
,Morigaon,iv. Acute Diarrhoeal Disease,48,1,26/03/13,30/03/13,Under control,"Outbreak of loose motion and abdominal pain reported from Village and PHC Bhurbandha, District Morigaon. District RRT investigated the outbreak. House to house survey done. Cases treated at Morigaon Civil Hospital. All cases recovered. 2 stool samples collected and sent to GMCH which tested negative for cholera culture. 1 death occurred in a girl aged 8 years. ORS packets and chlorine tablets were distributed in the community. Disinfection of the surrounding done. IEC done regarding safe drinking water."
Bihar,West Champaran,v. Chickenpox,15,0,25/03/13,31/03/13,Under control,"Cases of fever with rash reported from Village APHC Gidha (Dom Toli), PHC Chanpatiya, District West Champaran. District RRT investigated the outbreak. House to house fever survey done. All cases were below 12 years of age. People were of low socio economic status. Symptomatic treatment given to cases. Health education given regarding isolation of cases."
Gujarat,Amreli,vi. Acute Diarrhoeal Disease,22,0,28/03/13,29/03/13,Under control,"Cases reported from Village Chalala, PHC Gopalgram, Block Dhari, Distrcit Amreli, due to consumption of contaminated water (pipeline leakage). District RRT investigated the outbreak. House to house survey done. Cases treated at CHC Chalala. ORS packet and chlorine tablets distributed in the community. IEC done regarding safe drinking water."
Jammu and Kashmir,Shopian,vii. Fever,30,0,23/03/13,29/03/13,Under control,"Cases reported from Village Kellar, PHC Sangerwani, District Shopian. District RRT investigated the outbreak. House to house survey done. Temporary medical camp organized in the locality. Cases treated symptomatically. Out of 30 blood samples collected, 6 samples were positive for widal. Chlorine tablets distributed in the community. Health education given regarding use of boiled water for drinking purpose, hygiene and sanitation."
Karnataka,Gadag,viii. Chikunguny a,17,0,25/03/13,27/03/13,Under control,"Cases of fever with joint pain and body ache reported from Village Kalakapur, PHC/CHC Nidagundi, Block Ron, District Gadag. District RRT investigated the outbreak. House to house fever survey done. Cases treated locally. All 3 serum samples collected were positive for Chikungunya (IgM ELISA). Entomological survey done. Source reduction activities and fogging done. IEC done."
,,ix. Fever,69,0,22/03/13,25/03/13,Under control,"Outbreak reported from Village Doni Tanda, PHC/CHC Kadampur, Block Mundargi, District Gadag due to consumption of contaminated water (pipeline leakage). District RRT investigated the outbreak. House to house survey done. Temporary medical camp organized. All cases treated symptomatically. Out of 25 blood samples collected, 14 samples were positive for widal. Pipeline leakages were rectified and repaired. Chlorination of water sources done. Health education given."
,Gulbarga,x. Acute Diarrhoeal Disease,27,1,22/03/13,28/03/13,Under control,"Outbreak of loose motion and vomiting reported from Village/PHC/CHC Nelogi, Block Jewargi, District Gulbarga. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. 4 stool samples collected which tested negative for cholera. Chlorine tablets and ORS packets were distributed in the community. Chlorination of water sources done. Health education given regarding safe drinking water, hygiene and sanitation."
Karnataka,Koppal,xi. Fever,37,0,26/03/13,27/03/13,Under control,"Outbreak reported from Village Kalimalli, PHC/CHC Mudenur, Block Kustagi, Distrcit Koppal. District RRT investigated the outbreak. House to house fever survey done. All cases treated symptomatically. Entomological survey revealed: HI 20, CI 13.3, BI 20. All 5 serum samples collected were negative for Chikungunya (IgM ELISA). Anti-larval activities done. IEC done."
,Yadgir,xii. Acute Diarrhoeal Disease,16,0,26/03/13,31/03/13,Under control,"Cases of loose motion reported from Village Devapur, PHC/CHC Petammapur, Block Shorapur, District Yadgir. Medical team investigated the outbreak. All cases treated symptomatically. Chlorination of water sources done. Health education done."
Madhya Pradesh,Khandwa,xiii. Chickenpox,8,0,25/03/13,25/03/13,Under control,"Cases of fever with rash reported from Village/SC Ashapur, CHC/Block Khalwa, District Khandwa. District RRT investigated the outbreak. Active search for fever cases done in the affected area. Cases were in age group 5-16 years. Cases treated locally. Health education given regarding early treatment and isolation of cases."
Maharashtra,Akola,xiv. Measles,8,0,26/03/13,26/03/13,Under control,"Cases of fever with rash, cough and conjunctivitis reported from Village Sonkhas, SC Patur Nandapur, PHC Kurankhed, Block & District Akola. District RRT investigated the outbreak. Active search for fever cases done. Cases treated symptomatically. All 5 serum samples collected and sent to NIV, Pune, were positive for Measles (IgM ELISA). Cases were less than 15 years of age. Vitamin A solution given to cases. Immunization of unvaccinated children done in the affected area. Health education given regarding isolation of the cases."
,Beed,xv. Chikunguny a & Dengue,23,0,25/03/13,25/03/13,Under control,"Outbreak of fever with arthralgia and myalgia reported from Village Dhanegaon, PHC Bansarola, Block Kaij, District Beed. District RRT investigated the outbreak. House to house fever survey done. Temporary health camp organized in the community. Out of 6 serum samples collected, 4 samples were positive for Chikungunya and 1 for Dengue (IgM ELISA). All cases treated symptomatically. Anti-larval activities and fogging done. IEC done."
,Nashik,xvi. Viral Hepatitis E,55,0,24/03/13,28/03/13,Under control,"Cases of jaundice reported from Village Sawargaon, SC Ranvad, PHC Palkhed, Block Niphad, District Nasik. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Out of 55 serum samples collected and sent to NIV Pune, 43 samples were positive for Hepatitis E (IgM ELISA). Chlorination of water sources done. Health education given regarding safe drinking water, hygiene and sanitation."
